features,n_features,score,removed_feature,phase
"['Avg_Home_Goals', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",18,0.4632319361277445,Home_Trend,base
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",19,0.46202874251497006,Avg_Away_ShotsOnTarget,base
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",19,0.4616303393213572,Avg_Home_Yellow,base
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",19,0.4616271457085828,Avg_Home_HomeWins,base
"['Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",19,0.4616263473053892,Avg_Home_Goals,base
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",19,0.46123353293413166,Avg_Away_Yellow,base
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",19,0.46082235528942117,Avg_Away_AwayWins,base
"['Avg_Home_Goals', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",18,0.46003992015968065,Avg_Home_TotalWins,base
"['Avg_Home_Goals', 'Avg_Home_Shots', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_HomeWins', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Trend']",19,0.46003752495009975,Avg_Total_Yellow,additional
"['Avg_Home_Goals', 'Avg_Home_ShotsOnTarget', 'Avg_Home_Yellow', 'Avg_Home_Red', 'Home_Trend', 'Avg_Home_TotalWins', 'Avg_Away_Goals', 'Avg_Away_Shots', 'Avg_Away_ShotsOnTarget', 'Avg_Away_Yellow', 'Avg_Away_Red', 'Away_Trend', 'Avg_Away_AwayWins', 'Avg_Away_TotalWins', 'Avg_Total_Shots', 'Avg_Total_Red', 'Avg_Total_Yellow', 'Avg_Total_Trend']",18,0.4600367265469062,Avg_Home_HomeWins,base
