Gameday;Date;HomeTeam;AwayTeam
15.;08.12.2024;Fortuna Dusseldorf;Braunschweig
15.;08.12.2024;Hamburg;Darmstadt
15.;08.12.2024;Regensburg;FC Koln
16.;13.12.2024;Hertha;Preußen Münster
16.;13.12.2024;Karlsruhe;Regensburg
16.;14.12.2024;Magdeburg;Paderborn
16.;14.12.2024;Schalke 04;Fortuna Dusseldorf
16.;14.12.2024;Ulm;Hamburg
16.;14.12.2024;Darmstadt;Kaiserslautern
16.;15.12.2024;FC Koln;Nurnberg
16.;15.12.2024;Braunschweig;Elversberg
16.;15.12.2024;Greuther Furth;Hannover
17.;20.12.2024;Fortuna Dusseldorf;Magdeburg
17.;20.12.2024;Elversberg;Schalke 04 
17.;21.12.2024;Hamburg;Greuther Furth
17.;21.12.2024;Preußen Münster;Ulm
17.;21.12.2024;Paderborn;Karlsruhe
17.;21.12.2024;Nurnberg;Braunschweig
17.;22.12.2024;Kaiserslautern;FC Koln
17.;22.12.2024;Hannover;Hertha
17.;22.12.2024;Regensburg;Darmstadt
18.;17.01.25;Fortuna Dusseldorf;Darmstadt
18.;17.01.25;Regensburg;Hannover
18.;18.01.25;Kaiserslautern;Ulm
18.;18.01.25;Braunschweig;Schalke 04 
18.;18.01.25;Preußen Münster;Greuther Furth
18.;18.01.25;Hamburg;FC Koln
18.;19.01.25;Nurnberg;Karlsruhe
18.;19.01.25;Paderborn;Hertha
18.;19.01.25;Elversberg;Magdeburg
19.;24.01.25;Magdeburg;Braunschweig
19.;24.01.25;Greuther Furth;Kaiserslautern
19.;25.01.25;FC Koln;Elversberg
19.;25.01.25;Schalke 04;Nurnberg
19.;25.01.25;Karlsruhe;Fortuna Dusseldorf
19.;25.01.25;Hertha;Hamburg
19.;26.01.25;Hannover;Preußen Münster
19.;26.01.25;Ulm;Regensburg
19.;26.01.25;Darmstadt;Paderborn
20.;31.01.25;Nurnberg;Darmstadt
20.;31.01.25;Elversberg;Karlsruhe
20.;01.02.25;Braunschweig;FC Koln
20.;01.02.25;Fortuna Dusseldorf;Ulm
20.;01.02.25;Regensburg;Hertha
20.;01.02.25;Schalke 04;Magdeburg
20.;02.02.25;Kaiserslautern;Preußen Münster
20.;02.02.25;Hamburg;Hannover
20.;02.02.25;Paderborn;Greuther Furth
21.;07.02.25;Preußen Münster;Hamburg
21.;07.02.25;Greuther Furth;Regensburg
21.;08.02.25;Magdeburg;Nurnberg
21.;08.02.25;Ulm;Paderborn
21.;08.02.25;Darmstadt;Elversberg
21.;08.02.25;Hertha;Kaiserslautern
21.;09.02.25;FC Koln;Schalke 04 
21.;09.02.25;Hannover;Fortuna Dusseldorf
21.;09.02.25;Karlsruhe;Braunschweig
22.;14.02.25;Magdeburg;FC Koln
22.;14.02.25;Paderborn;Preußen Münster
22.;15.02.25;Kaiserslautern;Hannover
22.;15.02.25;Braunschweig;Darmstadt
22.;15.02.25;Elversberg;Greuther Furth
22.;15.02.25;Fortuna Dusseldorf;Hertha
22.;16.02.25;Nurnberg;Ulm
22.;16.02.25;Schalke 04;Karlsruhe
22.;16.02.25;Regensburg;Hamburg
23.;21.02.25;Hamburg;Kaiserslautern
23.;21.02.25;Hertha;Nurnberg
23.;22.02.25;Karlsruhe;Magdeburg
23.;22.02.25;Preußen Münster;Regensburg
23.;22.02.25;Ulm;Elversberg
23.;22.02.25;Hannover;Paderborn
23.;23.02.25;FC Koln;Fortuna Dusseldorf
23.;23.02.25;Greuther Furth;Braunschweig
23.;23.02.25;Darmstadt;Schalke 04 
24.;28.02.25;Schalke 04;Preußen Münster
24.;28.02.25;Fortuna Dusseldorf;Greuther Furth
24.;01.03.25;Kaiserslautern;Regensburg
24.;01.03.25;Nurnberg;Hannover
24.;01.03.25;Braunschweig;Ulm
24.;01.03.25;Karlsruhe;FC Koln
24.;02.03.25;Magdeburg;Darmstadt
24.;02.03.25;Paderborn;Hamburg
24.;02.03.25;Elversberg;Hertha
25.;09.03.2025;Kaiserslautern;Elversberg
25.;09.03.2025;Hamburg;Fortuna Dusseldorf
25.;09.03.2025;Hannover;Braunschweig
25.;09.03.2025;Hertha;Schalke 04 
25.;09.03.2025;Preußen Münster;Nurnberg
25.;09.03.2025;Greuther Furth;Magdeburg
25.;09.03.2025;Regensburg;Paderborn
25.;09.03.2025;Ulm;FC Koln
25.;09.03.2025;Darmstadt;Karlsruhe
26.;16.03.2025;FC Koln;Darmstadt
26.;16.03.2025;Magdeburg;Hamburg
26.;16.03.2025;Nurnberg;Greuther Furth
26.;16.03.2025;Braunschweig;Hertha
26.;16.03.2025;Schalke 04;Hannover
26.;16.03.2025;Fortuna Dusseldorf;Regensburg
26.;16.03.2025;Karlsruhe;Ulm
26.;16.03.2025;Paderborn;Kaiserslautern
26.;16.03.2025;Elversberg;Preußen Münster
27.;30.03.2025;Kaiserslautern;Fortuna Dusseldorf
27.;30.03.2025;Hamburg;Elversberg
27.;30.03.2025;Hannover;Magdeburg
27.;30.03.2025;Hertha;Karlsruhe
27.;30.03.2025;Preußen Münster;Braunschweig
27.;30.03.2025;Paderborn;FC Koln
27.;30.03.2025;Greuther Furth;Schalke 04 
27.;30.03.2025;Regensburg;Nurnberg
27.;30.03.2025;Ulm;Darmstadt
28.;06.04.2025;FC Koln;Hertha
28.;06.04.2025;Magdeburg;Kaiserslautern
28.;06.04.2025;Nurnberg;Hamburg
28.;06.04.2025;Braunschweig;Paderborn
28.;06.04.2025;Schalke 04;Ulm
28.;06.04.2025;Fortuna Dusseldorf;Preußen Münster
28.;06.04.2025;Karlsruhe;Hannover
28.;06.04.2025;Darmstadt;Greuther Furth
28.;06.04.2025;Elversberg;Regensburg
29.;13.04.2025;Kaiserslautern;Nurnberg
29.;13.04.2025;Hamburg;Braunschweig
29.;13.04.2025;Hannover;Elversberg
29.;13.04.2025;Hertha;Darmstadt
29.;13.04.2025;Preußen Münster;Karlsruhe
29.;13.04.2025;Paderborn;Fortuna Dusseldorf
29.;13.04.2025;Greuther Furth;FC Koln
29.;13.04.2025;Regensburg;Schalke 04 
29.;13.04.2025;Ulm;Magdeburg
30.;20.04.2025;FC Koln;Preußen Münster
30.;20.04.2025;Magdeburg;Regensburg
30.;20.04.2025;Nurnberg;Paderborn
30.;20.04.2025;Braunschweig;Kaiserslautern
30.;20.04.2025;Schalke 04;Hamburg
30.;20.04.2025;Karlsruhe;Greuther Furth
30.;20.04.2025;Ulm;Hertha
30.;20.04.2025;Darmstadt;Hannover
30.;20.04.2025;Elversberg;Fortuna Dusseldorf
